sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena
https://www.ss.lv//msg/lv/transport/cars/volvo/v70/ehgdx.html ,https://i.ss.lv/gallery/6/1119/279519/55903617.th2.jpg ,"Pārdod V70, Latvijā nepilnu gadu, 1, 6d edrive. zobsiksnas komplekts m",VolvoV70,2012,Dīzelis,1.6,308000,5500
https://www.ss.lv//msg/lv/transport/cars/seat/altea/ihjbd.html ,https://i.ss.lv/gallery/6/1099/274518/54903563.th2.jpg ,"Altea Freetrack. Ērts, ekonomisks un ir ļoti labā tehniskā stāvoklī. V",SeatAltea,2011,Dīzelis,1.6,249000,5100
https://www.ss.lv//msg/lv/transport/cars/opel/insignia/bmfnmh.html ,https://i.ss.lv/gallery/6/1174/293366/58673194.th2.jpg ,"Подвеска в хорошем состоянии, зимняя резина прошла одну зиму, салон чист",OpelInsignia,2009,Dīzelis,2.0,290000,1500
https://www.ss.lv//msg/lv/transport/cars/volkswagen/new-beetle/dojdp.html ,https://i.ss.lv/gallery/5/953/238151/47630103.th2.jpg ,"Auto no Vācijas, labā stāvoklī, jauna tehniskā apskate. Kondicionieris s",VolkswagenBeetle,2003,Dīzelis,1.9,405000,1795
https://www.ss.lv//msg/lv/transport/cars/kia/sportage/bpbfln.html ,https://i.ss.lv/gallery/6/1179/294726/58945013.th2.jpg ,"1.6 Dīzelis, 115zs, Mehānika, Ex. Vidējais degvielas patēriņš 4, 9L/10",KiaSportage,2018,Dīzelis,1.6,85000,15900
https://www.ss.lv//msg/lv/transport/cars/audi/a3/glhnx.html ,https://i.ss.lv/gallery/6/1179/294725/58944945.th2.jpg ,Auto labā tehniskā un vizuālā stāvoklī sīkāk sazvanoties.,AudiA3,2007,Dīzelis,1.9,216000,3500
https://www.ss.lv//msg/lv/transport/cars/mercedes/s320/bcpek.html ,https://i.ss.lv/gallery/6/1137/284243/56848544.th2.jpg ,"Labi saglabājies , braukts vasaras mēnešos , atrodas garāžā , bez rūsas ",MercedesS320,2008,Dīzelis,3.2,157000,8350
https://www.ss.lv//msg/lv/transport/cars/opel/astra/febpn.html ,https://i.ss.lv/gallery/6/1179/294725/58944855.th2.jpg ,Opel Astra sport tourer. Pagājušo gadu ievesta no Vācijas. Manā īpašumā ,OpelAstra,2011,Dīzelis,1.7,265000,4250
https://www.ss.lv//msg/lv/transport/cars/skoda/kodiaq/cbeiii.html ,https://i.ss.lv/gallery/6/1179/294725/58944897.th2.jpg ,"Skoda Kodiaq Fwd Dsg. 2017. gada. 2.0l dīzelis, 110 Kw (150 Hp). Par",SkodaKodiaq,2017,Dīzelis,2.0,132000,19900
https://www.ss.lv//msg/lv/transport/cars/bmw/740/ccide.html ,https://i.ss.lv/gallery/6/1179/294725/58944830.th2.jpg ,"Auto ideālā tehniskā un vizuālā stāvoklī, Xdrive. Salons tīrs un kopts. ",Bmw740,2016,Dīzelis,3.0,228000,31995
https://www.ss.lv//msg/lv/transport/cars/bmw/530/anldi.html ,https://i.ss.lv/gallery/6/1179/294724/58944767.th2.jpg ,"Pārdodu bmw 530, 3l motors, automāts. Mašīnai vienmēr sekots līdzi, vi",Bmw530,2005,Dīzelis,3.0,384000,7000
https://www.ss.lv//msg/lv/transport/cars/volvo/xc60/bghdcl.html ,https://i.ss.lv/gallery/6/1177/294129/58825637.th2.jpg ,"2018. gada modelis. 190 ZS, pilnpiedziņa, joslu stūrētājs, lietus sensor",VolvoXC 60,2017,Dīzelis,2.0,186000,23000
https://www.ss.lv//msg/lv/transport/cars/kia/ceed/bjpcmh.html ,https://i.ss.lv/gallery/6/1156/288990/57797944.th2.jpg ,Uzņēmums pārdod a/m Kia Ceed. Auto iegādāts Latvijā un ir bijis viens ,KiaCeed,2018,Dīzelis,1.6,320000,6200
https://www.ss.lv//msg/lv/transport/cars/volkswagen/caddy/cnjbi.html ,https://i.ss.lv/gallery/6/1158/289315/57862966.th2.jpg ,"Uzņēmums pārdod VW Caddy. A/m labā tehniskā stāvoklī, visi remonti un ",VolkswagenCaddy,2017,Dīzelis,2.0,280000,7600
https://www.ss.lv//msg/lv/transport/cars/bmw/x3/cbbbkf.html ,https://i.ss.lv/gallery/6/1179/294724/58944731.th2.jpg ,"Pārdod Bmw X3 3.0d Rūc, brauc, viss strādā. Protams ir defekti.",BmwX3,2004,Dīzelis,3.0,310000,3500
https://www.ss.lv//msg/lv/transport/cars/audi/a4/bdeipi.html ,https://i.ss.lv/gallery/6/1179/294710/58941818.th2.jpg ,"Audi A4 B7 2.0 tdi, S-line eksterjers, 6 ātrumi, R18 diski, autonoma aps",AudiA4,2006,Dīzelis,2.0,320000,1800
https://www.ss.lv//msg/lv/transport/cars/porsche/cayenne/filfe.html ,https://i.ss.lv/gallery/6/1025/256156/51231152.th2.jpg ,"Porsche Cayenne 180kW/245zs, automātiskā ātrumkārba. Pirmā reģistrācij",PorscheCayenne,2012,Dīzelis,3.0,230000,23900
https://www.ss.lv//msg/lv/transport/cars/volkswagen/caddy/bdflgx.html ,https://i.ss.lv/gallery/6/1137/284227/56845306.th2.jpg ,Pardod vw caddy maxi 1.9 tdi Bls. Tikko uztaisita apkope. Diski R19 ,VolkswagenCaddy,2010,Dīzelis,1.9,404000,5200
https://www.ss.lv//msg/lv/transport/cars/skoda/octavia/bckeld.html ,https://i.ss.lv/gallery/6/1082/270438/54087581.th2.jpg ,"Tehniski viss kārtībā ir vizuāli defekti, līdz dodu kreisās puses durvis",SkodaOctavia,2005,Dīzelis,1.9,421000,800
https://www.ss.lv//msg/lv/transport/cars/porsche/cayenne/bcmjxf.html ,https://i.ss.lv/gallery/6/1125/281084/56216782.th2.jpg ,Pārdod Porsche Cayenne Diesel 3.0 tdi 180Kw/245Zs. Nupat veikta apkope u,PorscheCayenne,2012,Dīzelis,3.0,284000,18500
https://www.ss.lv//msg/lv/transport/cars/volvo/s80/degjj.html ,https://i.ss.lv/gallery/6/1157/289190/57837851.th2.jpg ,"Pārdod sakarīgu volvo, motors ļoti labs, varu samainīt pret jaunāku ar m",VolvoS80,2004,Dīzelis,2.4,450000,2450
https://www.ss.lv//msg/lv/transport/cars/chrysler/sebring/amfoi.html ,https://i.ss.lv/gallery/6/1081/270002/54000218.th2.jpg ,Auto laba tehniskā stāvoklī. Vizuāli rokas jāpieliek.,ChryslerSebring,2007,Dīzelis,2.0,255000,1200
https://www.ss.lv//msg/lv/transport/cars/toyota/yaris/cnkoc.html ,https://i.ss.lv/gallery/6/1111/277588/55517525.th2.jpg ,"Auto teicamā kārtībā, ja rodas jautājumi droši zvaniet.",ToyotaYaris,2008,Dīzelis,1.4,322000,3200
