sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbneeb.html ,https://i.ss.lv/gallery/6/1133/283196/56639108.th2.jpg ,Pārdod Awd Tesla Model S 75D 193 kW (259 Zs). Cena ar Pvn 21%. Iespējama,Tesla,2018,Elektro,,161000,31900
https://www.ss.lv//msg/lv/transport/cars/jaguar/another/odjnb.html ,https://i.ss.lv/gallery/6/1118/279377/55875221.th2.jpg ,Īpašnieks pārdod Jaguar I-Pace First Edition Hse 400 HP. Cena norādīta a,JaguarCiti,2018,Elektro,,70000,37000
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbjhid.html ,https://i.ss.lv/gallery/6/1179/294717/58943257.th2.jpg ,"Tesla Model S 75d, Awd. Eiropas modelis, nav avarējis. Ādas salons. Divi",Tesla,2018,Elektro,,94000,35000
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbooph.html ,https://i.ss.lv/gallery/6/1154/288294/57658793.th2.jpg ,Peugeot 208 GT ElectricValsts atbalsts 4500 eur privātpersonām. ,Peugeot,2023,Elektro,,10,33300
https://www.ss.lv//msg/lv/transport/cars/peugeot/rifter/cbjfki.html ,https://i.ss.lv/gallery/6/1127/281691/56338149.th2.jpg ,"Peugeot e-Rifter GT, 50 kwh, 100 kw, autonomija (pēc Wltp) 280 km- B",PeugeotRifter,2023,Elektro,,4.5000,41100
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbjkeg.html ,https://i.ss.lv/gallery/6/1170/292255/58450992.th2.jpg ,"Kia Ev6, Gt-Line TX Rwd, Snow White Pearl krāsa. , 77, 4 kwh, 379 zs. ",Kia,2023,Elektro,,17,58640
https://www.ss.lv//msg/lv/transport/cars/opel/corsa/colxl.html ,https://i.ss.lv/gallery/6/1174/293412/58682289.th2.jpg ,"Pilnīgi jauna Opel Corsa e Electric, pieejama uzreiz. Cena ar valsts a",OpelCorsa,2024,Elektro,,10,32990
https://www.ss.lv//msg/lv/transport/cars/opel/corsa/dhecg.html ,https://i.ss.lv/gallery/6/1138/284384/56876643.th2.jpg ,Pieejams valsts atbalsts privātpersonām 4500 Eur. Auto cena ar valsts ,OpelCorsa,2023,Elektro,,3.8000,29000
https://www.ss.lv//msg/lv/transport/cars/bmw/i3s/ccbond.html ,https://i.ss.lv/gallery/6/1173/293069/58613737.th2.jpg ,120Ah i3S . ar Iki Atbalstu 22950 eur garantija batareja lidz 05.2028rup,Bmwi3s,2021,Elektro,,27000,24950
https://www.ss.lv//msg/lv/transport/cars/kia/another/gomcm.html ,https://i.ss.lv/gallery/6/1163/290513/58102477.th2.jpg ,Jauns Kia Ev6 My23 Gt-Line Rwd ar 7 gadu garantiju. Cenā iekļauts:Gr,KiaCiti,2024,Elektro,,15,55440
https://www.ss.lv//msg/lv/transport/cars/bmw/i3/bopljd.html ,https://i.ss.lv/gallery/6/1166/291354/58270773.th2.jpg ,"Pārdodu modeli 1Z61, 125 kw; apskate 03.2024;ziemā var nobraukt 120-146 ",Bmwi3,2016,Elektro,,48000,16900
https://www.ss.lv//msg/lv/transport/cars/jaguar/another/agbbb.html ,https://i.ss.lv/gallery/6/1167/291669/58333632.th2.jpg ,Jaguar I-Pace Ev400 Awd (4x4) 90Kwh. = Privātpersonai iespējams iegū,JaguarCiti,2018,Elektro,,61000,36900
https://www.ss.lv//msg/lv/transport/cars/hyundai/kona/cxcnom.html ,https://i.ss.lv/gallery/6/1179/294699/58939646.th2.jpg ,"Hyundai Kona, Style 64Kw komplektācija ar Elektro dzinēju un Automātisko",HyundaiKona,2023,Elektro,,15000,33990
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbkmmo.html ,https://i.ss.lv/gallery/6/1035/258651/51730136.th2.jpg ,"Baterija 94 Ah, key les go, Led optika, kamera , parkinga sensori, harma",BMW,2017,Elektro,,170000,12500
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbkfce.html ,https://i.ss.lv/gallery/6/1174/293433/58686514.th2.jpg ,"Praktiski jauna . long renge. 100kwh baterija. raven dzinēji, aktīvā pie",Tesla,2021,Elektro,,36000,58900
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbmocn.html ,https://i.ss.lv/gallery/6/1116/278765/55752889.th2.jpg ,Tesla Model X signature individual 772hpTikko ievesta LatvijāBagātig,Tesla,2016,Elektro,,195000,35500
https://www.ss.lv//msg/lv/transport/cars/bmw/i3/cxichd.html ,https://i.ss.lv/gallery/6/1115/278551/55710119.th2.jpg ,Pazemināta cena. BMW I3 ar 120Ah/42Kwh. Tikko no Beļģijas. Pieregistrēts,Bmwi3,2019,Elektro,,72000,19300
https://www.ss.lv//msg/lv/transport/cars/nissan/leaf/cxohgk.html ,https://i.ss.lv/gallery/6/1179/294681/58936030.th2.jpg ,"Leaf N-connecta 40 kWh, cena ar Pvn, Aklas zonas, Keyless Go, Stūre ar a",NissanLeaf,2018,Elektro,,83000,15950
https://www.ss.lv//msg/lv/transport/cars/porsche/taycan/ccbkdl.html ,https://i.ss.lv/gallery/6/1165/291174/58234793.th2.jpg ,Porsche Taycan 4S labā vizuālā un tehniskā stāvoklī. A/m atrodas Rīgā un,PorscheTaycan,2023,Elektro,,1.4000,107000
https://www.ss.lv//msg/lv/transport/cars/electric-cars/bmkhpg.html ,https://i.ss.lv/gallery/6/1171/292707/58541206.th2.jpg ,Pārdodas Tesla model S85 Eiropas modelis. Mašīna labā tehniskā un vizuāl,Tesla,2014,Elektro,,230000,25000
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbinln.html ,https://i.ss.lv/gallery/6/1167/291612/58322202.th2.jpg ,Ar Pvn. Model 3 . Autopilots. Eiropas modelis. Garantija 5 gadi. Pirms a,Tesla,2020,Elektro,,24000,32900
https://www.ss.lv//msg/lv/transport/cars/skoda/enyaq-iv/cblbjg.html ,https://i.ss.lv/gallery/6/1179/294654/58930634.th2.jpg ,Škoda dīleris Liepājā piedāvāJauna automašīnaŠkoda Enyaq iV 60 /,SkodaEnyaq iV,2024,Elektro,,123,44000
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbeghj.html ,https://i.ss.lv/gallery/6/1167/291684/58336638.th2.jpg ,"Bmw IX xDrive 50. Ar Pvn. Garantija 4 gadi. Bowers & Wilkins, Soft Close",BMW,2022,Elektro,,57000,81990
https://www.ss.lv//msg/lv/transport/cars/electric-cars/cbiomk.html ,https://i.ss.lv/gallery/6/1174/293264/58652702.th2.jpg ,Uzreiz. Ar Pvn. Model Y 565km. 4x4. Garantija. Autopilots. 441zs. Āķis. ,Tesla,2023,Elektro,,8.7000,55780
