sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena
https://www.ss.lv//msg/lv/transport/cars/toyota/rav-4/bihfck.html ,https://i.ss.lv/gallery/6/1169/292228/58445595.th2.jpg ,"Toyota Rav4 Hybrid Suv 2.5 Hybrid Dynamic Force (218 hp) E-Cvt Luxury, A",ToyotaRAV 4,2021,Hibrīds,2.5,30000,32590
https://www.ss.lv//msg/lv/transport/cars/lexus/rx/enlxp.html ,https://i.ss.lv/gallery/6/1035/258664/51732629.th2.jpg ,"Pārdodu auto labā stāvoklī, tikko izieta jauna TA līdz 2025.23.01. jāmai",LexusRX,2006,Hibrīds,3.3,248000,7350
https://www.ss.lv//msg/lv/transport/cars/toyota/c-hr/cbmfgj.html ,https://i.ss.lv/gallery/6/1177/294077/58815322.th2.jpg ,"Toyota Chr 1.8 Hsd Style komplektācija (īpašie diski R18, Alcantara pusā",ToyotaC-HR,2019,Hibrīds,1.8,95000,18850
https://www.ss.lv//msg/lv/transport/cars/toyota/auris/bhgdhj.html ,https://i.ss.lv/gallery/6/1161/290226/58045006.th2.jpg ,Toyota Auris Touring Sport Executive Hybrid 1.8 fwd ar kopējo jaudu 100k,ToyotaAuris,2016,Hibrīds,1.8,110000,13800
https://www.ss.lv//msg/lv/transport/cars/toyota/camry/akkmg.html ,https://i.ss.lv/gallery/6/1177/294085/58816992.th2.jpg ,Pārdodam Camry Sedan Premium 2.5 Hybrid Dynamic Force (218 hp) E-Cvt  ,ToyotaCamry,2020,Hibrīds,2.5,35000,25000
https://www.ss.lv//msg/lv/transport/cars/toyota/prius-plus/bmjnih.html ,https://i.ss.lv/gallery/6/1148/286800/57359810.th2.jpg ,Toyota Prius + Hybrid 7 sēdvietas Executive. Tikko no Belģijas. Liel,ToyotaPrius+,2013,Hibrīds,1.8,189000,14590
https://www.ss.lv//msg/lv/transport/cars/porsche/panamera/blmiho.html ,https://i.ss.lv/gallery/6/1169/292118/58423451.th2.jpg ,"Porsche Panamera 4 E-Hybrid Sport Turismo, 340 kW / 462 hpCena norādīt",PorschePanamera,2022,Hibrīds,3.0,28000,90700
https://www.ss.lv//msg/lv/transport/cars/toyota/yaris/bfejbf.html ,https://i.ss.lv/gallery/6/1102/275377/55075257.th2.jpg ,"Jauna automašīna - pieejama uzreiz. Toyota Yaris Cross, 2023.gada, 1",ToyotaYaris,2023,Hibrīds,1.5,16,32300
https://www.ss.lv//msg/lv/transport/cars/toyota/camry/ebfck.html ,https://i.ss.lv/gallery/6/1098/274316/54863072.th2.jpg ,Tiek pārdods ideālā tehniskā un vizuālā stāvoklī Toyota Camry (Executive,ToyotaCamry,2020,Hibrīds,2.5,53000,23000
https://www.ss.lv//msg/lv/transport/cars/volkswagen/passat-b8/cxdjhf.html ,https://i.ss.lv/gallery/6/1112/277874/55574776.th2.jpg ,Vai mainu pret elektro auto ar piemaksu uz abām pusēm. Pārdod Passat G,VolkswagenPassat (B8),2015,Hibrīds,1.4,225000,16000
https://www.ss.lv//msg/lv/transport/cars/toyota/yaris/enmcn.html ,https://i.ss.lv/gallery/6/1167/291573/58314485.th2.jpg ,Yaris Cross Hybrid Crossover 1.5 Hybrid Dynamic Force (116 hp) E-Cvt Act,ToyotaYaris,2023,Hibrīds,1.5,21000,23500
https://www.ss.lv//msg/lv/transport/cars/toyota/corolla/cdlnf.html ,https://i.ss.lv/gallery/6/1107/276732/55346318.th2.jpg ,"Toyota Corolla Sedan 1.8 Hybrid Active Plus E-Cvt, Automāts, Rear view c",ToyotaCorolla,2021,Hibrīds,1.8,57000,19200
https://www.ss.lv//msg/lv/transport/cars/toyota/highlander/cccxfd.html ,https://i.ss.lv/gallery/6/1168/291978/58395475.th2.jpg ,Jauna automašīna Toyota Highlander 7-seat Suv 2.5 Hybrid Dynamic Force (,ToyotaHighlander,2024,Hibrīds,2.5,10,63990
https://www.ss.lv//msg/lv/transport/cars/toyota/yaris/hehpf.html ,https://i.ss.lv/gallery/6/1174/293366/58673065.th2.jpg ,"Toyota Yaris Cross, 2023.gada, 1.5L Hybrid/benzīns, 85 kW/ 116 Zs, Elega",ToyotaYaris,2023,Hibrīds,1.5,628,29700
